set,idx,category,layer,proj_S1,proj_S2
S1_3P,60,A1,10,-11.867533942044002,-2.6164946806283043
S1_3P,60,A1,11,-7.150189589674815,-3.128109326313184
S1_3P,60,A1,12,-8.171899896283524,-6.41478073274319
S1_3P,60,A1,13,-8.033526515931731,-12.89627986023023
S1_3P,60,A1,14,-8.059236601249822,-9.750896102371186
S1_3P,60,A1,15,-10.03242036794822,-10.882203059308674
S1_3P,60,A1,16,-9.872313128666391,-9.02522085166975
S1_3P,60,A1,17,-7.82529936605485,-6.179121815570998
S1_3P,60,A1,18,-9.451761043756022,-4.657656844648326
S1_3P,60,A1,19,-3.7490715950288083,-9.697092521425535
S1_3P,60,A1,20,-12.971414308589353,-19.489767262379225
S1_3P,60,A1,21,-16.560783080703075,-23.57513298561343
S1_3P,60,A1,22,-11.809462004397277,-20.42789596373677
S1_3P,60,A1,23,-6.589729649662432,-22.628070958351316
S1_3P,60,A1,24,-4.52464064571736,-29.37674223773029
S1_3P,61,A2,0,-0.22392467850912748,-1.2652456975414839
S1_3P,61,A2,1,0.20513443083677424,-0.5031561379575955
S1_3P,61,A2,2,-0.47331707729724815,-1.3596059509697869
S1_3P,61,A2,3,1.117484600333527,-1.0717416755027487
S1_3P,61,A2,4,1.034666365387074,-1.764918383506048
S1_3P,61,A2,5,1.1418898955876728,0.895342244860842
S1_3P,61,A2,6,0.40106994343252655,3.2868847947383646
S1_3P,61,A2,7,-2.614023884388071,1.6352062806518528
S1_3P,61,A2,8,-1.050067667798291,3.418558310866425
S1_3P,61,A2,9,-5.783739037900814,0.9372521424329814
S1_3P,61,A2,10,-7.402612071203444,2.1238557162563456
S1_3P,61,A2,11,-4.267849860837379,3.484420642382988
S1_3P,61,A2,12,-3.8708501000507285,0.8818993909446222
S1_3P,61,A2,13,-4.90058598346668,-6.929243324997309
S1_3P,61,A2,14,-6.0295883789239735,-4.703959204562673
S1_3P,61,A2,15,-8.495309218835505,-4.643225724403392
S1_3P,61,A2,16,-8.489337131493716,-3.5861254591690352
S1_3P,61,A2,17,-6.154031007183105,1.1535933970141046
S1_3P,61,A2,18,-6.695116896913621,2.2377590965342335
S1_3P,61,A2,19,0.6810264099224561,1.212896806300112
S1_3P,61,A2,20,-4.56412492499446,-0.6806191617018054
S1_3P,61,A2,21,-4.648737428507282,-1.3592548354298604
S1_3P,61,A2,22,1.7960163676071268,3.2834318362018715
S1_3P,61,A2,23,9.90143681550186,9.001632029785672
S1_3P,61,A2,24,21.111146197149207,12.7095686367695
S1_3P,62,A3,0,-0.28961502421203555,-1.1434838698348693
S1_3P,62,A3,1,0.08465230439514215,-0.40753176339367614
S1_3P,62,A3,2,-0.6396588749014648,-1.599834242100551
S1_3P,62,A3,3,0.4981025124333265,-1.6318523768276523
S1_3P,62,A3,4,0.8109471278737745,-2.7808060873759994
S1_3P,62,A3,5,-0.5311268067429138,0.22084131373610005
S1_3P,62,A3,6,-2.577225444376572,1.2210893323710033
S1_3P,62,A3,7,-5.80256766939806,-1.3228749677065021
S1_3P,62,A3,8,-5.910213981797334,-1.0154138830111918
S1_3P,62,A3,9,-9.841816533777884,-0.9899723346878075
S1_3P,62,A3,10,-12.28667640666848,-1.5007990233123256
S1_3P,62,A3,11,-7.290998624733344,-2.022158875911346
S1_3P,62,A3,12,-7.823993236676489,-4.9272466261986585
S1_3P,62,A3,13,-7.907964863007996,-10.983448652309848
S1_3P,62,A3,14,-9.138623601889448,-8.415433010052377
S1_3P,62,A3,15,-11.356482040004927,-10.392857762184653
S1_3P,62,A3,16,-11.346597987654233,-8.223426578928786
