outcome,role,condition,stat,est,ci_lo,ci_hi,p_perm_item,p_exact_category,welch_ci95_lo,welch_ci95_hi
cos_pain,secondary,user_next,I,0.17175029546153953,0.028895025685567444,0.3137667040822667,0.0377962203779622,0.3143315018315018,-0.1416254493518705,0.48512604027494954
cos_pain,secondary,moderator_next,mean_harm_to_model,-1.0641005164467592,-1.1413611052452173,-0.9899953838695551,,,,
cos_pain,secondary,moderator_next,mean_user_suffering,-0.8314478367496885,-0.9059245963021442,-0.7571937937044921,,,,
cos_pain,secondary,moderator_next,mean_neutral,-1.0525731788747388,-1.1148194106506755,-0.988118343154202,,,,
cos_pain,secondary,moderator_next,delta_harm,-0.011527337572020402,-0.11183844214860003,0.08373899119032137,,0.9061355311355311,-0.18009999877998728,0.15704532363594648
cos_pain,secondary,moderator_next,delta_suffer,0.2211253421250503,0.12301113494881921,0.3205399918249114,,0.007936507936507936,0.05956461798141785,0.3826860662686825
cos_pain,secondary,moderator_next,I,0.2326526796970707,0.1288041376912098,0.34150713832539836,0.00039996000399960006,0.029532967032967032,0.06413929265864879,0.4011660667354924
act_norm,secondary,user_next,mean_harm_to_model,-0.3122537439519705,-0.4741188092665235,-0.1436839788610281,,,,
act_norm,secondary,user_next,mean_user_suffering,-0.8714664840698236,-1.0348322353363029,-0.7069079580306996,,,,
act_norm,secondary,user_next,mean_neutral,-1.0111278915405264,-1.170128032684326,-0.849883325576782,,,,
act_norm,secondary,user_next,delta_harm,0.6988741475885559,0.47039387650923215,0.9293654319589782,,0.09638278388278389,-0.26485262530431564,1.6626009204814278
act_norm,secondary,user_next,delta_suffer,0.13966140747070277,-0.08574757194519077,0.36979215621948197,,0.753968253968254,-0.8655883182479464,1.1449111331893516
act_norm,secondary,user_next,I,-0.5592127401178532,-0.7962550403421567,-0.32363525260578413,0.00039996000399960006,0.14972527472527472,-1.2880019195692007,0.1695764393334943
act_norm,secondary,moderator_next,mean_harm_to_model,1.0713813434947626,0.8741104945269502,1.2801160313866362,,,,
act_norm,secondary,moderator_next,mean_user_suffering,1.0950669479370123,0.8590962657928473,1.3394028759002694,,,,
act_norm,secondary,moderator_next,mean_neutral,-0.715842208862303,-0.8806336851119989,-0.5505211772918683,,,,
act_norm,secondary,moderator_next,delta_harm,1.7872235523570654,1.5339092011885198,2.0507913147319434,,0.00022893772893772894,0.6353533586908597,2.9390937460232713
act_norm,secondary,moderator_next,delta_suffer,1.8109091567993154,1.5240352554321281,2.101421278953551,,0.007936507936507936,0.6484371206419062,2.9733811929567238
act_norm,secondary,moderator_next,I,0.023685604442249764,-0.290005357048728,0.33585679661143925,0.9017098290170983,0.9381868131868132,-0.5637398833098659,0.611111092194365
