set,idx,category,layer,proj_S1,proj_S2
S1_1P,9,E,14,-3.3699096918895517,-1.844665839525287
S1_1P,9,E,15,-37.075856051992524,-19.858696575018136
S1_1P,9,E,16,-22.076151911064382,-9.636424093902177
S1_1P,9,E,17,-14.641093231276397,-10.421725862355366
S1_1P,9,E,18,-34.222953365304406,-4.359588772482345
S1_1P,9,E,19,-32.911590994116466,-3.391432552137967
S1_1P,9,E,20,-50.855156399485566,-12.022423521839809
S1_1P,9,E,21,-58.84745642219672,-11.65453574690802
S1_1P,9,E,22,-31.7333366307854,0.33609869649934243
S1_1P,9,E,23,-60.24135155044536,-12.614882435109513
S1_1P,9,E,24,-65.27764216712251,-16.62878873563948
S1_1P,9,E,25,-41.189968908504916,13.730507614645568
S1_1P,10,A1,0,2.0233975881777835,-1.1056003317107237
S1_1P,10,A1,1,-2.0095400669530656,0.05513562356791746
S1_1P,10,A1,2,1.9249684161395504,4.854057071023962
S1_1P,10,A1,3,-8.89048304841897,4.954240778913684
S1_1P,10,A1,4,-8.79367002466207,-6.254332451297148
S1_1P,10,A1,5,-2.187037851837708,3.3683569917947347
S1_1P,10,A1,6,-12.989810436125628,-5.612495833473179
S1_1P,10,A1,7,-2.4129815246298305,1.2149835988896975
S1_1P,10,A1,8,-6.388510072068615,2.6243940176252036
S1_1P,10,A1,9,2.7558675254612073,3.9244998176901564
S1_1P,10,A1,10,5.17718987683156,11.081106586958711
S1_1P,10,A1,11,6.598101183757311,5.292901743668915
S1_1P,10,A1,12,-6.793302187070196,4.013110582801032
S1_1P,10,A1,13,-1.5662962149972142,2.479271382435703
S1_1P,10,A1,14,7.116356789147483,-2.9696416880888346
S1_1P,10,A1,15,-19.05088117278973,-12.760283949292454
S1_1P,10,A1,16,-4.663797050194602,-5.099593830595022
S1_1P,10,A1,17,3.4854471637053157,-7.507727770865087
S1_1P,10,A1,18,-4.2000442851652915,1.5982427599772544
S1_1P,10,A1,19,18.04803953318096,16.071355602696478
S1_1P,10,A1,20,5.179650622479292,5.100673268198728
S1_1P,10,A1,21,7.424530361175094,6.904196386743189
S1_1P,10,A1,22,37.17195973043732,12.249383561597448
S1_1P,10,A1,23,21.585778500038074,2.2324733535338996
S1_1P,10,A1,24,36.14097779350793,5.8078966692650065
S1_1P,10,A1,25,56.393380365071174,47.71607209977442
S1_1P,11,A2,0,2.1735656462445747,-0.27029853120154246
S1_1P,11,A2,1,-1.2749819414713661,0.7538977345077112
S1_1P,11,A2,2,2.7451676520927113,4.842705770331676
S1_1P,11,A2,3,-7.9642229362177925,5.493961106878038
S1_1P,11,A2,4,-10.250329858855007,-6.48775107686563
S1_1P,11,A2,5,-2.899543754733796,3.921345597049578
S1_1P,11,A2,6,-12.815814841397405,-4.888785208508921
S1_1P,11,A2,7,-2.3879377696523854,4.433265917689823
S1_1P,11,A2,8,-8.423579060652647,5.970891215888821
S1_1P,11,A2,9,2.5778185466551813,7.254993182812406
S1_1P,11,A2,10,5.39605361651635,16.0532648312687
S1_1P,11,A2,11,7.736820175501963,10.636851371615245
S1_1P,11,A2,12,-6.650677645397792,7.246019435898414
S1_1P,11,A2,13,0.01589477129251904,8.95399812775179
S1_1P,11,A2,14,6.352813199787843,4.348343422217516
S1_1P,11,A2,15,-22.633843076987027,-8.746796808146737
S1_1P,11,A2,16,-8.43688268589603,1.7370469401496549
S1_1P,11,A2,17,-1.606491692325907,-1.71302373406239
S1_1P,11,A2,18,-17.513087216435036,6.502884420043374
S1_1P,11,A2,19,-16.452074084051812,10.505692044661746
S1_1P,11,A2,20,-32.60035368502652,2.8699246776434695
S1_1P,11,A2,21,-34.736189493125096,5.725458100075876
S1_1P,11,A2,22,-1.6329124787564289,17.312955852747663
S1_1P,11,A2,23,-22.529273305479744,8.706198017737469
S1_1P,11,A2,24,-16.25742977561946,9.451585958617668
S1_1P,11,A2,25,24.612142837559585,57.31281200844082
S1_1P,12,A3,0,2.7588482388479147,-0.6455903530615262
S1_1P,12,A3,1,-0.6193714535102172,0.35542988801012354
S1_1P,12,A3,2,4.131779868830117,8.027703447676448
S1_1P,12,A3,3,-3.9983787042291445,9.08094064599878
S1_1P,12,A3,4,-5.490875691049358,-3.5806478258149004
S1_1P,12,A3,5,-2.217897149916497,6.178876145967288
S1_1P,12,A3,6,-14.092899722920748,-4.131754894178694
S1_1P,12,A3,7,-4.850957561975761,2.1664621844971252
S1_1P,12,A3,8,-8.432233832548045,3.2166458784141643
S1_1P,12,A3,9,0.8764855145115524,3.56635970105697
S1_1P,12,A3,10,4.376945075912799,10.694290876351618
S1_1P,12,A3,11,5.9061795104552886,7.631526912585605
S1_1P,12,A3,12,-7.584185607635695,6.6683278168232425
S1_1P,12,A3,13,-0.8022394863998761,8.811504065238424
S1_1P,12,A3,14,2.626497510114034,4.502037874922198
S1_1P,12,A3,15,-21.365214559990953,-5.692930592657749
S1_1P,12,A3,16,-8.554178689413744,0.576695758312787
S1_1P,12,A3,17,1.4814713329649019,8.659887731196724
S1_1P,12,A3,18,-4.552863987762635,14.98147346925699
S1_1P,12,A3,19,5.816030253151533,24.073670987871882
S1_1P,12,A3,20,-4.493245545293575,18.196025150909072
